kij results,,,,,,,,
1proc,4proc,8proc,12proc,16proc,20proc,processors,speedup,efficiency
966.7943079,588.9919791,700.1033602,735.6356859,865.1917779,792.9454739,1,1,
966.8907499,590.4752131,703.5672069,749.319226,881.455132,796.9708509,4,1.641438835,0.410359709
966.9125991,611.4520879,704.5967302,821.0018961,905.832875,798.8147652,8,1.380930821,0.172616353
967.065114,613.376827,704.73982,829.8121259,956.8350451,804.5187829,12,1.314229756,0.109519146
967.2738919,634.7313631,738.820682,858.5607421,993.3566399,808.880182,16,1.117433536,0.069839596
,,,,,,20,1.219244374,0.060962219
ikj results,,,,,,,,
1proc,4proc,8proc,12proc,16proc,20proc,processors,speedup,efficiency
961.4837179,641.6261871,772.1947269,677.445312,651.575598,616.307024,1,1,
961.8951099,642.4062381,837.6875629,688.3197339,657.4610929,619.3350239,4,1.498510717,0.374627679
962.2473691,642.9047492,890.6425579,691.4974582,667.7477849,628.6311281,8,1.245131162,0.155641395
963.126358,643.4156361,907.8368659,730.6524761,700.4168169,634.5434545,12,1.419278724,0.118273227
963.1359551,644.1395679,917.0336549,741.0861089,711.1602519,655.751915,16,1.4756288,0.0922268
,,,,,,20,1.560072627,0.078003631
,,,,,,,,
ikj results,,,,,,,,
1proc,4proc,8proc,12proc,16proc,20proc,processors,speedup,efficiency
1188.595944,795.4940059,821.708154,879.697726,1185.632024,,1,1,
1194.663404,880.5273249,850.8206758,879.7140319,1186.324656,,4,1.494160779,0.373540195
1197.692839,982.800293,1055.966434,905.38269,1191.832118,,8,1.446494036,0.180811754
1200.083897,1077.766706,1119.276348,918.9899621,1253.816764,,12,1.351141317,0.11259511
1208.696728,1083.29763,1154.933648,965.666858,1430.174059,,16,1.002499865,0.410359709
,,,,,,20,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
12,kij,874.3324401,,,,,,
12,kij,974.1946471,,,,,,
12,kij,988.4655681,,,,,,
12,kij,1008.371728,,,,,,
12,kij,1026.579687,,,,,,
12,kij,1027.05666,,,,,,
12,kij,1190.357783,,,,,,
16,kij,865.1917779,,,,,,
16,kij,881.455132,,,,,,
16,kij,905.832875,,,,,,
16,kij,956.8350451,,,,,,
16,kij,993.3566399,,,,,,
16,kij,999.7739189,,,,,,
16,kij,1065.501385,,,,,,
16,kij,1106.061674,,,,,,
16,kij,1157.901213,,,,,,
16,kij,1168.116611,,,,,,
16,kij,1171.299439,,,,,,
20,kij,792.9454739,,,,,,
20,kij,796.9708509,,,,,,
20,kij,798.8147652,,,,,,
20,kij,804.5187829,,,,,,
20,kij,808.880182,,,,,,
20,kij,872.5040698,,,,,,
20,kij,879.5753191,,,,,,
